"","degree.mst.","ID","closeness_centrality","betweeness_centrality","eigen_centrality","community"
"1",15,"PRDM1",0.00191743157411962,3284,1,1
"2",1,"AFTPH",0.00153062333432715,0,0.0663540060798774,1
"3",2,"CCDC74B",0.001705214797977,110,0.264704547634842,1
"4",1,"CEACAM20",0.00153284537545956,0,0.0714053598809904,1
"5",1,"CLEC18C",0.00170159470095231,0,0.248137632700783,1
"6",1,"DUX4",0.00153428593891373,0,0.0707528268997213,1
"7",1,"DYDC1",0.00170182841407273,0,0.247834903585322,1
"8",2,"FUS",0.00152967226450379,110,0.0746651051017549,1
"9",1,"GPR183",0.00169890250396266,0,0.251630847137318,1
"10",2,"IPMK",0.00169949130363091,110,0.272490764869681,1
"11",1,"NEK11",0.0015302781772667,0,0.0665634234982368,1
"12",1,"PDZK1IP1",0.00152681065739753,0,0.0680196380732076,1
"13",1,"PIP4K2C",0.00169401679731619,0,0.257998570841652,1
"14",1,"RBM22",0.00138558030324164,0,0.0190401485782218,1
"15",2,"RTP4",0.00170321095222429,218,0.274330785035269,1
"16",1,"SMUG1",0.00169697850299101,0,0.254134092859588,1
"17",2,"WDR90",0.00170405317570784,110,0.266042978467582,1
"18",3,"WRNIP1",0.00170836924174378,219,0.284008759159319,1
"19",1,"ASB10",0.00146667568019788,0,2.8248040301433e-07,2
"20",1,"ATP9A",0.00186905468200359,0,1.08557489313273e-05,2
"21",4,"BTG2",0.00181367484265366,743,3.98096564008632e-06,2
"22",3,"CCDC61",0.0016251536791283,219,1.13285597370744e-06,2
"23",3,"CTIF",0.00202552916218118,1670,1.27896663323091e-05,2
"24",3,"FAM205A",0.00162542092287626,219,1.13095297870628e-06,2
"25",1,"KLRF1",0.00161844319587842,0,9.93172645583768e-07,2
"26",2,"MRGPRX3",0.00213394051174257,110,4.35775076174049e-05,2
"27",1,"NDST1",0.0014664141961727,0,2.83042441419623e-07,2
"28",2,"NLRP6",0.00223186002755475,1674,4.39516079737191e-05,2
"29",1,"RECQL5",0.00146610624686021,0,2.83651101514946e-07,2
"30",4,"SYNRG",0.0024775606601038,3944,0.000164609398773846,2
"31",1,"TENT4B",0.00146637833659131,0,2.83066900312316e-07,2
"32",1,"AVPR2",0.00128547609634976,0,0.00496927081748869,3
"33",2,"CTU2",0.00154633138337289,218,0.0755625778045972,3
"34",1,"FCER2",0.00154064588136605,0,0.0705996236905374,3
"35",2,"FGF11",0.00140536749983099,110,0.0199625280728464,3
"36",3,"OSBPL3",0.00171510626044033,431,0.285073232931115,3
"37",2,"BEGAIN",0.00209644174402149,2774,0.071550133669348,4
"38",1,"CEACAM16",0.0020346730412797,0,0.000450290828139298,4
"39",3,"DACT2",0.00235140164788547,3014,0.00181336098300201,4
"40",1,"DIABLO",0.001911264970123,0,0.00552422673754867,4
"41",1,"KCNA5",0.00208329747119333,0,0.000131336929710607,4
"42",2,"LRRC55",0.00200530282974118,2738,0.265919385111422,4
"43",4,"MALSU1",0.00219020672747264,2949,0.0221014607638814,4
"44",1,"OSR1",0.0019086858100662,0,0.00558283878884284,4
"45",3,"PRR23C",0.00241994962744123,3054,0.000524348559002529,4
"46",3,"SLC45A1",0.00227435557651203,2966,0.00634381837105734,4
"47",1,"TACR3",0.00197615723025069,0,0.00157877086827717,4
"48",2,"BLNK",0.00154909595466788,218,0.0761169547045035,5
"49",1,"GJA8",0.00128684674851014,0,0.00503109618328698,5
"50",2,"KRTAP4-9",0.00140706252086648,110,0.0202021876569315,5
"51",2,"SLC39A3",0.00154601669589618,110,0.0761319350000518,5
"52",3,"SPPL2C",0.00171898154679285,536,0.286257743051921,5
"53",1,"ZDHHC12",0.00139892530257982,0,0.0194217526050649,5
"54",2,"BRINP3",0.00158117210273606,110,4.63849073304858e-07,6
"55",1,"CLCN2",0.00121573152983718,0,8.73176282003807e-09,6
"56",1,"CLDN9",0.00142974945600809,0,1.16539039875452e-07,6
"57",3,"DMKN",0.00144583392759442,326,1.33493958991381e-07,6
"58",2,"GFRA4",0.0013219742111197,110,3.52144232174337e-08,6
"59",4,"LOC105378193",0.00176249771975863,841,1.74821871966719e-06,6
"60",2,"MCHR2",0.00158976206191774,428,4.69129361579085e-07,6
"61",1,"PGC",0.00157760590962912,0,4.36043026375161e-07,6
"62",1,"RIPK4",0.00131953132867203,0,3.31496368591429e-08,6
"63",2,"BUD13",0.0010638450510082,110,4.72183000286273e-10,7
"64",2,"CD3G",0.00114380377527638,218,1.76459697174858e-09,7
"65",2,"CRTAC1",0.00145174089434203,630,8.70910449795583e-08,7
"66",1,"EXTL1",0.00114082792685849,0,1.642944291184e-09,7
"67",1,"FUCA2",0.000993763000525649,0,1.17408312582804e-10,7
"68",3,"LAMA3",0.00123376959542261,431,6.63320766083755e-09,7
"69",1,"PPIAL4H",0.00143633552504972,0,8.14819993817662e-08,7
"70",2,"RBM4B",0.00133455230761674,530,2.33778943745316e-08,7
"71",3,"SYCN",0.00158732900836598,831,3.28007168552594e-07,7
"72",1,"C7orf31",0.00168989831091138,0,1.18304050777075e-06,8
"73",1,"CDC25C",0.00168823899349112,0,1.19336599774084e-06,8
"74",1,"CFAP100",0.00173011020973092,0,1.42793847268625e-06,8
"75",2,"CNTNAP4",0.00189946252686611,218,4.52714247961959e-06,8
"76",5,"CSDC2",0.00195799755558205,1410,5.65890243015066e-06,8
"77",2,"EXPH5",0.00173971337121751,218,1.51207464788117e-06,8
"78",3,"GDPD5",0.0019043509965474,219,4.73295856517057e-06,8
"79",2,"LHX2",0.00168933198417124,110,1.21138508785437e-06,8
"80",1,"OR10S1",0.00173389299970826,0,1.40117198625071e-06,8
"81",1,"PLEK2",0.001414864269388,0,1.00626561036957e-07,8
"82",1,"RSAD1",0.00151529961397386,0,3.08916946798006e-07,8
"83",4,"UROC1",0.00216736551321798,1989,1.66758226231337e-05,8
"84",2,"ZBTB49",0.00156211536824746,110,4.02660452994994e-07,8
"85",1,"CACHD1",0.0012831699395886,0,0.00465877573448387,9
"86",2,"LTK",0.00154310933341365,218,0.0707863134445639,9
"87",2,"OTOP2",0.00140265744167083,110,0.018708636064993,9
"88",2,"SH3RF1",0.00171150903066339,324,0.266516050395301,9
"89",2,"CCDC159",0.00182469001226701,110,3.94046072879647e-06,10
"90",3,"CCR6",0.00174411250289061,1118,1.15130158849745e-06,10
"91",1,"CXCL16",0.0014179226002186,0,7.65049651138943e-08,10
"92",3,"GOLPH3L",0.00207067716008522,326,1.48257662102224e-05,10
"93",4,"IRF2BP2",0.00237818312860508,3348,5.21822228650983e-05,10
"94",2,"MYO3A",0.0021285200386203,1358,1.39368883580539e-05,10
"95",2,"PDK1",0.00156537917933901,110,3.07011435442464e-07,10
"96",3,"RANBP3",0.00192227892388583,1286,3.98522294292249e-06,10
"97",1,"SPNS2",0.00162449246374444,0,9.98256061162087e-07,10
"98",1,"ZCCHC18",0.0018205906792699,0,3.6891443380268e-06,10
"99",1,"ZNF107",0.00170450810053506,0,9.93527366244354e-07,10
"100",1,"FER1L5",0.00135254427109458,0,7.68428967689157e-08,11
"101",2,"GPR119",0.00135354566194285,110,8.28090213935818e-08,11
"102",3,"HNRNPUL2",0.00164074485112492,638,1.064911142934e-06,11
"103",2,"OVOL3",0.00148200888578534,110,2.83026309842837e-07,11
"104",1,"RBPMS2",0.00124145955111457,0,2.07189126569368e-08,11
"105",1,"SPA17",0.00134964661790107,0,7.02527166788233e-08,11
"106",3,"STARD5",0.00181747699434588,831,3.67742318914005e-06,11
"107",3,"TUBGCP6",0.00148690499975931,326,3.06635968240109e-07,11
"108",1,"ZC3H8",0.00161766431310773,0,9.37459088298805e-07,11
"109",2,"PHYHD1",0.00140194120306548,110,0.0188261969372721,12
"110",2,"SLC6A18",0.00171212935659556,324,0.26563593423583,12
"111",1,"UBE2V2",0.0012829781127599,0,0.00467055811515037,12
"112",2,"UQCRFS1",0.00154363006514397,218,0.0706317812508913,12
